"StandardCode","Version","StandardName","StandardSectorCode","NotionalEndLevel","EffectiveFrom","LastDateStarts","EffectiveTo","URLLink","SectorSubjectAreaTier1","SectorSubjectAreaTier2","IntegratedDegreeStandard","OtherBodyApprovalRequired","Created_On","Created_By","Modified_On","Modified_By"
"1","1","Network Engineer","7","4","01 Aug 2014","","","https://www.gov.uk/government/publications/apprenticeship-standard-network-engineer","6.00","6.10","N","","09 Jul 2015","goodmand","09 Jul 2015","goodmand"
"2","1","Software Developer","7","4","01 Aug 2014","","","https://www.gov.uk/government/publications/apprenticeship-standard-software-developer","6.00","6.20","N","","09 Jul 2015","goodmand","09 Jul 2015","goodmand"
"3","1","Aerospace Manufacturing Fitter","2","3","01 Aug 2014","31 Mar 2017","31 Mar 2017","https://www.gov.uk/government/publications/apprenticeship-standard-aerospace-manufacturing-fitter","4.00","4.10","N","","09 Jul 2015","goodmand","07 Apr 2017","robinsonsar"
"4","1","Mechatronics Maintenance Technician","3","3","01 Aug 2014","31 Mar 2017","31 Mar 2017","https://www.gov.uk/government/publications/apprenticeship-standard-mechatronics-maintenance-technician","4.00","4.20","N","","09 Jul 2015","goodmand","07 Apr 2017","robinsonsar"
"5","1","Installation Electrician/Maintenance Electrician","19","3","01 Aug 2015","","","https://www.gov.uk/government/publications/apprenticeship-standard-installation-electricianmaintenance-electrician","4.00","4.10","N","","16 Sep 2015","fisherk","16 Sep 2015","fisherk"
"6","1","Power Network Craftsperson","8","3","01 Aug 2014","","","https://www.gov.uk/government/publications/apprenticeship-standard-power-network-craftsperson","4.00","4.10","N","","09 Jul 2015","goodmand","09 Jul 2015","goodmand"
"7","1","Relationship Manager (Banking)","9","6","01 Aug 2014","","","https://www.gov.uk/government/publications/apprenticeship-standard-relationship-manager-banking","15.00","15.10","N","","09 Jul 2015","goodmand","09 Jul 2015","goodmand"
"8","1","Financial Services Administrator","9","3","01 Aug 2014","","","https://www.gov.uk/government/publications/apprenticeship-standard-financial-services-administrator","15.00","15.10","N","","09 Jul 2015","goodmand","09 Jul 2015","goodmand"
"9","1","Control /Technical Support Engineer (degree)","3","6","01 Aug 2014","","","https://www.gov.uk/government/publications/apprenticeship-standard-controltechnical-support-engineer","4.00","4.20","N","","09 Jul 2015","goodmand","11 Jul 2018","KTEMPERLEY"
"10","1","Electrical /Electronic Technical Support Engineer (degree)","3","6","01 Aug 2014","","","https://www.gov.uk/government/publications/apprenticeship-standard-electricalelectronic-technical-support-engineer","4.00","4.20","N","","09 Jul 2015","goodmand","11 Jul 2018","KTEMPERLEY"
"11","1","Manufacturing Engineer (degree)","3","6","01 Aug 2014","","","https://www.gov.uk/government/publications/apprenticeship-standard-manufacturing-engineer","4.00","4.20","N","","09 Jul 2015","goodmand","11 Jul 2018","KTEMPERLEY"
"12","1","Product Design and Development Engineer (degree)","3","6","01 Aug 2014","","","https://www.gov.uk/government/publications/apprenticeship-standard-product-design-and-development-engineer","4.00","4.20","N","","09 Jul 2015","goodmand","11 Jul 2018","KTEMPERLEY"
"13","1","Product Design and Development Technician","3","3","01 Aug 2014","31 Mar 2017","31 Mar 2017","https://www.gov.uk/government/publications/apprenticeship-standard-product-design-and-development-technician","4.00","4.20","N","","09 Jul 2015","goodmand","07 Apr 2017","robinsonsar"
"14","1","Laboratory Technician","4","3","01 Aug 2014","","","https://www.gov.uk/government/publications/apprenticeship-standard-laboratory-technician","4.00","4.20","N","","09 Jul 2015","goodmand","06 Aug 2015","vijaydek"
"15","1","Science Manufacturing Technician","4","3","01 Aug 2014","","","https://www.gov.uk/government/publications/apprenticeship-standard-science-manufacturing-technician","4.00","4.20","N","","09 Jul 2015","goodmand","06 Aug 2015","vijaydek"
"16","1","Food and Drink Maintenance Engineer","5","3","01 Aug 2014","","","https://www.gov.uk/government/publications/apprenticeship-standard-food-and-drink-maintenance-engineer","4.00","4.10","N","","09 Jul 2015","goodmand","06 Aug 2015","vijaydek"
"17","1","Actuarial Technician","1","4","26 Mar 2015","","","https://www.gov.uk/government/publications/apprenticeship-standard-actuarial-technician","15.00","15.10","N","","09 Jul 2015","goodmand","09 Jul 2015","goodmand"
"18","1","Dental Technician","6","5","26 Mar 2015","","","https://www.gov.uk/government/publications/apprenticeship-standard-dental-technician","1.00","1.10","N","Y","09 Jul 2015","goodmand","17 Jul 2018","KFISHER"
"19","1","Dental Laboratory Assistant","6","3","26 Mar 2015","","","https://www.gov.uk/government/publications/apprenticeship-standard-dental-laboratory-assistant","1.00","1.10","N","","09 Jul 2015","goodmand","09 Jul 2015","goodmand"
"20","1","Dental Practice Manager","6","4","26 Mar 2015","","","https://www.gov.uk/government/publications/apprenticeship-standard-dental-practice-manager","1.00","1.10","N","","09 Jul 2015","goodmand","09 Jul 2015","goodmand"
"21","1","Golf Greenkeeper","10","2","26 Mar 2015","","","https://www.gov.uk/government/publications/apprenticeship-standard-golf-greenkeeper","3.00","3.10","N","","09 Jul 2015","goodmand","09 Jul 2015","goodmand"
"22","1","Junior Journalist","11","3","26 Mar 2015","","","https://www.gov.uk/government/publications/apprenticeship-standard-junior-journalist","9.00","9.30","N","","09 Jul 2015","goodmand","09 Jul 2015","goodmand"
"23","1","Property Maintenance Operative","12","2","26 Mar 2015","","","https://www.gov.uk/government/publications/apprenticeship-standard-property-maintenance-operative","5.00","5.20","N","","09 Jul 2015","goodmand","09 Jul 2015","goodmand"
"24","1","Railway Engineering Design Technician","13","3","26 Mar 2015","","","https://www.gov.uk/government/publications/apprenticeship-standard-railway-engineering-design-technician","4.00","4.10","N","","09 Jul 2015","goodmand","09 Jul 2015","goodmand"
"25","1","Digital and Technology Solutions Professional (degree)","7","6","26 Mar 2015","","","https://www.gov.uk/government/publications/apprenticeship-standard-digital-technology-solutions-professional","6.00","6.10","Y","N","09 Jul 2015","goodmand","11 Jul 2018","KTEMPERLEY"
"26","1","Dual Fuel Smart Meter Installer","8","2","01 Aug 2015","","","https://www.gov.uk/government/publications/apprenticeship-standard-dual-fuel-smart-meter-installer","4.00","4.10","N","","03 Sep 2015","fisherk","16 Sep 2015","fisherk"
"27","1","Water Process Technician","8","3","01 Aug 2015","","","https://www.gov.uk/government/publications/apprenticeship-standard-water-process-technician","4.00","4.10","N","","03 Sep 2015","fisherk","16 Sep 2015","fisherk"
"28","1","Financial Services Customer Adviser","9","2","01 Aug 2015","","","https://www.gov.uk/government/publications/apprenticeship-standard-financial-services-customer-adviser","15.00","15.10","N","","03 Sep 2015","fisherk","16 Sep 2015","fisherk"
"29","1","Investment Operations Administrator","9","2","01 Aug 2015","","","https://www.gov.uk/government/publications/apprenticeship-standard-investment-operations-administrator","15.00","15.10","N","","03 Sep 2015","fisherk","16 Sep 2015","fisherk"
"30","1","Investment Operations Specialist","9","4","01 Aug 2015","","","https://www.gov.uk/government/publications/apprenticeship-standard-investment-operations-specialist","15.00","15.10","N","","03 Sep 2015","fisherk","16 Sep 2015","fisherk"
"31","1","Senior Financial Services Customer Adviser","9","3","01 Aug 2015","","","https://www.gov.uk/government/publications/apprenticeship-standard-senior-financial-services-customer-adviser","15.00","15.10","N","","03 Sep 2015","fisherk","16 Sep 2015","fisherk"
"32","1","Workplace Pensions (Administrator or Consultant)","9","3","01 Aug 2015","","","https://www.gov.uk/government/publications/apprenticeship-standard-workplace-pensions-consultant-or-administrator","15.00","15.10","N","","03 Sep 2015","fisherk","16 Sep 2015","fisherk"
"33","1","Investment Operations Technician","9","3","01 Aug 2015","","","https://www.gov.uk/government/publications/apprenticeship-standard-investment-operations-technician","15.00","15.10","N","","03 Sep 2015","fisherk","16 Sep 2015","fisherk"
"34","1","Able Seafarer (Deck)","14","2","01 Aug 2015","","","https://www.gov.uk/government/publications/apprenticeship-standard-able-seafarer-deck","4.00","4.30","N","","03 Sep 2015","fisherk","16 Sep 2015","fisherk"
